	---Name---							---Refrence---
Pa1_chika_u = Underground (Blue)					Acorn Plains-2
Pa1_chika2_u = Underground (Desert)					Layer Cake Desert-2/3
Pa1_chikal_u = Underground (NSLU)					Acorn Plains-2 (NSLU)
Pa1_daishizen_obake_u = Forest (Dark)					Soda Jungle-3
Pa1_daishizen_toso_u = Forest (Painted)					Soda Jungle-5
Pa1_daishizen_u = Forest 						Soda Jungle-1
Pa1_gake_u = Mountain							Rock Candy Mines
Pa1_hikousen_obake_u = Ghostship					Sparkling Waters-Ghost House
Pa1_hikousen_suichu_u = Airship (Underwater)				Soda Jungle-Ship
Pa1_hikousen_u = Airship						Soda Jungle-Ship
Pa1_kaigan_u = Beach							Acorn Plains-Blooper / Sparkling Waters
Pa1_kazan_u = Lava Underground						Mushroom Palace-3
Pa1_koopa_out_u = Lava Overworld					Mushroom Palace-1
Pa1_nohara_u = Grassland						Acorn Plains-1
Pa1_nohara2_u = Sky Grassland (Blueish)					Meringue Clouds-1
Pa1_nohara3_u = Sky Grassland (Green)					Acorn Plains-4
Pa1_nohara4_u = Sky Grassland (Sunset)					Meringue Clouds-4
Pa1_noharal_u = Grassland (NSLU)					Acorn Plains-1 (NSLU)
Pa1_nohara_staffroll_u = Grassland					Acorn Plains-1
Pa1_obake_soto_u = Ghost House Exterior (Extended)			Every Ghost House
Pa1_obake_u = Ghost House Interior					Every Ghost House
Pa1_sabaku_u = Desert (Cacti and deco by Stage13-10)			Layer Cake Desert
Pa1_setsugen_u = Snow							Frosted Glacier
Pa1_setsugenl_u = Snow (NSLU)						Frosted Glacier (NSLU)
Pa1_shiro_peach_u = Peach's Castle (Lava)				Mushroom Palace-Castle 1
Pa1_shiro_peach2_u = Final Castle (Lava)				Mushroom Palace-Castle 2
Pa1_shiro_peach3_u = Final Castle (Exterior)				Mushroom Palace-Castle 2
Pa1_shiro_soto_u = Castle Exterior (Ground (Blue))			Acorn Plains-Castle
Pa1_shiro_soto2_u = Castle Exterior (Ground (Brown/Desert))		Layer Cake Desert-Castle
