	---Name---						                	---Refrence---
Pa1_chika_u_B1 = Underground (Blue)			    		Acorn Plains-2
Pa1_chika2_u_B1 = Underground (Desert)					Layer Cake Desert-2/3
Pa1_chikal_u_B1 = Underground (NSLU)					Acorn Plains-2 (NSLU)
Pa1_daishizen_obake_u_B1 = Forest (Dark)		    	Soda Jungle-3
Pa1_daishizen_toso_u_B1 = Forest (Painted)				Soda Jungle-5
Pa1_daishizen_u_B1 = Forest (Dark)						Soda Jungle-1
Pa1_gake_u_B1 = Mountain				    			Rock Candy Mines
Pa1_hikousen_u_B1 = Airship						        Soda Jungle-Ship
Pa1_kaigan_u_B1 = Beach							        Acorn Plains-Blooper / Sparkling Waters
Pa1_kazan_u_B1 = Lava Underground						Mushroom Palace-3
Pa1_koopa_out_u_B1 = Lava Ground						Mushroom Palace-1
Pa1_nohara_u_B1 = Grassland						        Acorn Plains-1
Pa1_nohara2_u_B1 = Sky Grassland (Blueish)				Meringue Clouds-1
Pa1_nohara3_u_B1 = Sky Grassland (Green)				Acorn Plains-4
Pa1_nohara4_u_B1 = Sky Grassland (Sunset)				Meringue Clouds-4
Pa1_noharal_u_B1 = Grassland (NSLU)					    Acorn Plains-1 (NSLU)
Pa1_obake_soto_u_B1 = Ghost House Exterior (Extended)	Every Ghost House
Pa1_obake_u_B1 = Ghost House Interior					Every Ghost House
Pa1_sabaku_u_B1 = Desert (Cacti and deco by Stage13-10)	Layer Cake Desert
Pa1_setsugen_u_B1 = Snow							    Frosted Glacier
Pa1_setsugenl_u_B1 = Snow (NSLU)						Frosted Glacier (NSLU)
Pa1_shiro_u_B1 = Castle (Blue)						    Sparkling Waters-Castle
Pa1_shiro2_u_B1 = Castle (Lava)						    Acorn Plains-Castle
Pa1_shiro3_u_B1 = Castle (Dark / Sky)					Meringue Clouds-Castle
Pa1_suichu_u_B1 = Underwater						    Acorn Plains-Cheep Cheep
Pa1_suichul_u_B1 = Underwater (Overground)				Sparkling Waters-2 (NSLU)
Pa1_toride_gake_u_B1 = Tower (Rock Candy Mines)			Rock Candy Mines-Towers
Pa1_toride_kori_u_B1 = Tower (Frosted Glacier)			Frosted Glacier-Tower
Pa1_toride_sabaku_u_B1 = Tower (Layer Cake Desert)		Layer Cake Desert-Tower
Pa1_toride_u_B1 = Tower							        Acorn Plains-Tower

Pa2_daishizen_obake_u_B1 = Forest (Dark) Extention		Soda Jungle-3
Pa2_daishizen_u_B1 = Forest (Dark) Extention			Soda Jungle-1
Pa2_doukutu_u_B1 = Brown Rocks						    Acorn Plains-1
Pa2_doukutu2_u_B1 = Blue Rocks						    Acorn Plains-2
Pa2_doukutu3_u_B1 = Dark Brown Rocks					Layer Cake Desert-4 (NSLU)
Pa2_doukutu4_u_B1 = Snow Blue Rocks					    Frosted Glacier-1
Pa2_doukutu5_u_B1 = Sky Rocks						    Meringue Clouds-5 (NSLU)
Pa2_doukutu6_u_B1 = Mountain Rocks						Rock Candy Mines-5
Pa2_doukutu7_u_B1 = Lava Rocks						    Mushroom Palace-2
